              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction  Air TemperatureF  Dew PointF  Wind Speed (act)mph  Wind Speed (avg)mph  Wind Speed (max)mph  Absolute Atmospheric PressurehPa  Precipitation Intensityin/h  Saline Concentration%  Friction  Ice Percent%  Road Condition Lufft IRS31Prologic  Surface TemperatureF  Freezing TemperatureF  Sub Surface Temperature 1F  Water Film Heightmil
2023-01-01T05:03:00+00:00       95.649055                            0.0       115.331596          35.622837    34.502495             5.640707             6.193290            10.556077                        986.448975                     0.000000               0.000000  0.820000      0.000000                                10.0              34.131344               31.820000                    33.430023              0.000000
2023-01-01T05:13:00+00:00       95.334618                            0.0       112.320938          35.915901    34.711254             5.615551             5.977251            10.397308                        986.124878                     0.000000               0.000000  0.820000      0.000000                                10.0              34.199619               31.820000                    33.434292              0.000000
2023-01-01T05:23:00+00:00       94.827904                            0.0       198.468292          35.915901    34.577293             2.727588             4.975099             9.398224                        986.527466                     0.000000               0.000000  0.820000      0.000000                                10.0              34.307991               31.820000                    33.442799              0.000000
2023-01-01T05:33:00+00:00       94.743515                            0.0       195.286301          35.915901    34.554920             1.574208             2.435589             5.258296                        986.312256                     0.000000               0.000000  0.820000      0.000000                                10.0              34.377399               31.820000                    33.447067              0.000000
2023-01-01T05:43:00+00:00       94.659119                            0.0       145.197510          35.915901    34.532528             2.811833             3.268369             5.292285                        986.220886                     0.000000               0.000000  0.820000      0.000000                                10.0              34.347466               31.820000                    33.451305              0.000000
2023-01-01T05:53:00+00:00       94.743515                            0.0       135.482330          35.915901    34.554920             4.068457             2.834574             4.712519                        986.128662                     0.000000               0.000000  0.820000      0.000000                                10.0              34.313122               31.820000                    33.455570              0.000000
2023-01-01T06:03:00+00:00       94.996643                            0.0       112.751884          35.915901    34.621971             6.774047             4.049348             8.011138                        985.669678                     0.000000               0.000000  0.820000      0.000000                                10.0              34.316055               31.820000                    33.459839              0.000000
2023-01-01T06:13:00+00:00       95.252426                            0.0       117.616089          35.769615    34.544094             5.977612             4.758812             7.862328                        985.305603                     0.000000               0.000000  0.820000      0.000000                                10.0              34.286045               31.820000                    33.468342              0.000000
2023-01-01T06:23:00+00:00       95.505966                            0.0       134.037643          35.769615    34.610893             4.713858             4.426965             7.922144                        985.526062                     0.000000               0.000000  0.820000      0.000000                                10.0              34.314583               31.820000                    33.472576              0.000000
2023-01-01T06:33:00+00:00       95.677216                            0.0       134.663422          35.622837    34.509888             5.920426             4.641277             8.159432                        985.222717                     0.000000               0.000000  0.820000      0.000000                                10.0              34.316055               31.820000                    33.476837              0.000000
2023-01-01T06:43:00+00:00       95.705429                            0.0       140.318283          35.622837    34.517296             4.285642             5.253771             7.954608                        985.229553                     0.000000               0.000000  0.820000      0.000000                                10.0              34.401470               31.820000                    33.481106              0.000000
2023-01-01T06:53:00+00:00       95.874557                            0.0       123.703621          35.622837    34.561657             5.374146             5.950315             8.520226                        985.063416                     0.000000               0.000000  0.820000      0.000000                                10.0              34.452496               31.820000                    33.485336              0.000000
2023-01-01T07:03:00+00:00       96.015625                            0.0       124.206566          35.622837    34.598606             6.410204             7.244391            11.743546                        984.811218                     0.000000               0.000000  0.820000      0.000000                                10.0              34.421894               31.820000                    33.489601              0.000000
2023-01-01T07:13:00+00:00       95.987404                            0.0       146.611786          35.622837    34.591217             5.986940             7.122342            10.771118                        985.172852                     0.000000               0.000000  0.818315      0.000000                                10.0              34.433544               31.820000                    33.493832              0.288377
2023-01-01T07:23:00+00:00       96.382599                           69.0       163.858841          35.622837    34.694500             5.588077             6.513526             9.154200                        985.573669                     2.362205               0.000000  0.810004      0.000000                                40.0              34.459766               31.820000                    33.498093              1.711084
2023-01-01T07:33:00+00:00       97.489098                           69.0       182.075134          35.482540    34.841801             4.773471             4.256123             7.060934                        985.943115                     0.000000               0.000000  0.811191      0.000000                                40.0              34.561546               31.820000                    33.502323              1.507840
2023-01-01T07:43:00+00:00       98.056313                           69.0       182.754852          35.482540    34.987812             2.596886             3.680931             6.864200                        986.150635                     2.362205               0.000000  0.814753      0.000000                                40.0              34.587685               31.820000                    33.506588              0.898109
2023-01-01T07:53:00+00:00       98.712975                           69.0       155.936661          35.343063    35.016647             2.724359             3.555896             5.725985                        986.111023                     4.724410               0.000000  0.784870      0.000000                                40.0              34.408031               31.820000                    33.510845              6.013415
2023-01-01T08:03:00+00:00       99.710114                           69.0       151.169830          35.343063    35.269867             4.460502             3.171918             5.844627                        985.911987                    18.897638               0.000000  0.605896      0.000000                                40.0              34.351112               31.820000                    33.519337             36.649170
2023-01-01T08:13:00+00:00      100.000000                           69.0       132.263306          35.203114    35.203114             4.488508             4.285581             6.108203                        985.830750                    18.897638               0.000000  0.620820      0.000000                                40.0              34.373016               31.820000                    33.523567             34.094490
2023-01-01T08:23:00+00:00      100.000000                           69.0       132.310471          35.203114    35.203114             5.199395             5.163595             8.042287                        985.696472                    18.897638               0.000000  0.692253      0.000000                                40.0              34.448841               31.820000                    33.527821             21.867052
2023-01-01T08:33:00+00:00      100.000000                           69.0       144.084518          35.203114    35.203114             5.529881             5.757778             8.530702                        985.763611                     7.086614               0.000000  0.635713      0.000000                                40.0              34.463417               31.820000                    33.532078             31.545277
2023-01-01T08:43:00+00:00      100.000000                           69.0       148.728928          35.203114    35.203114             4.633764             6.428870             9.614651                        985.540222                     2.362205               0.000000  0.742469      0.000000                                40.0              34.500515               31.820000                    33.536308             13.271296
2023-01-01T08:53:00+00:00      100.000000                           69.0       152.551987          35.343063    35.343063             5.313153             6.043235             9.123543                        985.351685                     2.362205               0.000000  0.812972      0.000000                                40.0              34.569542               31.820000                    33.540562              1.202975
2023-01-01T09:03:00+00:00      100.000000                           69.0       147.772446          35.343063    35.343063             7.132091             6.830698            10.465376                        985.215515                     2.362205               0.000000  0.816534      0.000000                                40.0              34.650024               31.820000                    33.544788              0.593243
2023-01-01T09:13:00+00:00      100.000000                            0.0       144.642212          35.482540    35.482540             6.832679             6.070056             9.548086                        985.136902                     0.000000               0.000000  0.806739      0.000000                                40.0              34.594215               31.820000                    33.549042              2.270005
2023-01-01T09:23:00+00:00      100.000000                           69.0       160.551453          35.482540    35.482540             6.309888             6.324483            10.399437                        985.171387                     4.724410               0.000000  0.803177      0.000000                                40.0              34.574615               31.820000                    33.557522              2.879736
2023-01-01T09:33:00+00:00      100.000000                           69.0       162.009293          35.622837    35.622837             5.854738             5.883696             9.087879                        985.059021                     2.362205               0.000000  0.799615      0.000000                                40.0              34.508507               31.820000                    33.561775              3.489468
2023-01-01T09:43:00+00:00      100.000000                           69.0       170.598373          35.482540    35.482540             6.143128             5.752469             8.670238                        985.077942                     7.086614               0.000000  0.804364      0.000000                                40.0              34.495438               31.820000                    33.566002              2.676492
2023-01-01T09:53:00+00:00      100.000000                           69.0       157.363419          35.622837    35.622837             6.623725             6.019337            10.411644                        984.913086                     0.000000               0.000000  0.806442      0.000000                                40.0              34.487411               31.820000                    33.570251              2.320816
2023-01-01T10:03:00+00:00      100.000000                           69.0       144.769638          35.482540    35.482540             4.866394             6.510109            11.171721                        984.494751                     4.724410               0.000000  0.802583      0.000000                                40.0              34.556473               31.820000                    33.574474              2.981358
2023-01-01T10:13:00+00:00      100.000000                           69.0       160.179169          35.482540    35.482540             6.320177             5.958710             9.546146                        984.656311                     0.000000               0.000000  0.810004      0.000000                                40.0              34.576073               31.820000                    33.582973              1.711084
2023-01-01T10:23:00+00:00      100.000000                            0.0       182.872650          35.622837    35.622837             3.318781             4.854597             7.957250                        984.993652                     0.000000               0.000000  0.817128      0.000000                                40.0              34.521610               31.820000                    33.587196              0.491621
2023-01-01T10:33:00+00:00      100.000000                            0.0       169.399704          35.482540    35.482540             5.658646             3.968813             7.595814                        985.008911                     0.000000               0.000000  0.816237      0.000000                                40.0              34.617416               31.820000                    33.591446              0.644054
2023-01-01T10:43:00+00:00      100.000000                            0.0       187.769302          35.622837    35.622837             3.886925             3.960080             5.615702                        985.001770                     0.000000               0.000000  0.812675      0.000000                                40.0              34.638428               31.820000                    33.599915              1.253786
2023-01-01T10:53:00+00:00      100.000000                            0.0       186.121124          35.482540    35.482540             4.209541             3.683528             6.001944                        984.927124                     0.000000               0.000000  0.815644      0.000000                                40.0              34.570992               31.820000                    33.604164              0.745676
2023-01-01T11:03:00+00:00      100.000000                            0.0       192.941620          35.482540    35.482540             1.942793             2.923940             5.292419                        984.925354                     0.000000               0.000000  0.812972      0.000000                                40.0              34.366455               31.820000                    33.608383              1.202975
2023-01-01T11:13:00+00:00      100.000000                            0.0       224.017853          35.664822    35.664822             3.010954             3.689267             6.275321                        985.313477                     0.000000               0.000000  0.816831      0.000000                                40.0              34.363525               31.820000                    33.612629              0.542432
2023-01-01T11:23:00+00:00      100.000000                            0.0       229.964935          35.769615    35.769615             4.652181             4.115912             6.051867                        985.468018                     0.000000               0.000000  0.810894      0.000000                                40.0              34.634079               31.820000                    33.621094              1.558651
2023-01-01T11:33:00+00:00      100.000000                            0.0       225.801865          35.748676    35.748676             3.429437             3.650681             5.467782                        985.661255                     0.000000               0.000000  0.814160      0.000000                                15.0              34.784458               31.820000                    33.625340              0.999731
2023-01-01T11:43:00+00:00      100.000000                            0.0       207.125687          35.769615    35.769615             2.774446             3.079345             4.892810                        985.660400                     0.000000               0.000000  0.817128      0.000000                                15.0              34.902592               31.820000                    33.629551              0.491621
2023-01-01T11:53:00+00:00      100.000000                            0.0       177.447647          35.915901    35.915901             2.516615             2.569443             4.063759                        985.645020                     0.000000               0.000000  0.815050      0.000000                                15.0              35.022465               31.820000                    33.638012              0.847298
2023-01-01T12:03:00+00:00      100.000000                            0.0       190.798080          36.061695    36.061691             1.598852             2.153833             4.429848                        985.842346                     0.000000               0.000000  0.817128      0.000000                                15.0              35.127640               31.820000                    33.642258              0.491621
2023-01-01T12:13:00+00:00      100.000000                            0.0       224.333023          36.206993    36.206993             2.027062             1.719647             3.910344                        986.118408                     0.000000               0.000000  0.816237      0.000000                                15.0              35.153366               31.820000                    33.650715              0.644054
2023-01-01T12:23:00+00:00      100.000000                            0.0       197.495499          36.206993    36.206993             1.620706             1.965607             3.891164                        986.345764                     0.000000               0.000000  0.815050      0.000000                                15.0              35.254604               31.820000                    33.654953              0.847298
2023-01-01T12:33:00+00:00      100.000000                            0.0       210.851349          36.351807    36.351807             3.372974             2.633039             4.501353                        986.308228                     0.000000               0.000000  0.817722      0.000000                                10.0              35.329987               31.820000                    33.659168              0.389999
2023-01-01T12:43:00+00:00      100.000000                            0.0       218.143433          36.639965    36.639965             4.733812             3.746309             6.283205                        986.559143                     0.000000               0.000000  0.817425      0.000000                                15.0              35.444878               31.820000                    33.667622              0.440810
2023-01-01T12:53:00+00:00      100.000000                            0.0       234.644592          37.210529    37.210529             5.604434             4.897003             7.386787                        986.622131                     0.000000               0.000000  0.817128      0.000000                                15.0              35.565235               31.820000                    33.671860              0.491621
2023-01-01T13:03:00+00:00      100.000000                            0.0       227.478531          37.498276    37.498276             2.495501             4.049245             6.876381                        986.319519                     0.000000               0.000000  0.816237      0.000000                                15.0              35.686916               31.820000                    33.676094              0.644054
2023-01-01T13:13:00+00:00      100.000000                            0.0       214.564865          37.498276    37.498276             2.248498             2.497942             4.745842                        986.518433                     0.000000               0.000000  0.816534      0.000000                                15.0              35.807442               31.820000                    33.684544              0.593243
2023-01-01T13:23:00+00:00      100.000000                            0.0       261.255951          37.498276    37.498276             0.920657             1.408997             3.790199                        986.246826                     0.000000               0.000000  0.817722      0.000000                                10.0              35.891281               31.820000                    33.688755              0.389999
2023-01-01T13:33:00+00:00      100.000000                            0.0       239.754318          37.498276    37.498276             2.303025             1.724207             3.285964                        986.550903                     0.000000               0.000000  0.817425      0.000000                                15.0              35.984543               31.820000                    33.692989              0.440810
2023-01-01T13:43:00+00:00      100.000000                            0.0       212.016418          37.498276    37.498276             4.770561             2.759157             5.718840                        986.916626                     0.000000               0.000000  0.817722      0.000000                                10.0              36.136513               31.820000                    33.701435              0.389999
2023-01-01T13:53:00+00:00      100.000000                            0.0       251.603912          37.646812    37.646812             6.977101             4.752052            10.732351                        986.899841                     0.000000               0.000000  0.816831      0.000000                                15.0              36.334751               31.820000                    33.705666              0.542432
2023-01-01T14:03:00+00:00      100.000000                            0.0       280.727631          37.794865    37.794865             4.976214             5.700367            10.526158                        987.033691                     0.000000               0.000000  0.817128      0.000000                                15.0              36.607586               31.820000                    33.709877              0.491621
2023-01-01T14:13:00+00:00      100.000000                            0.0       292.316284          37.794865    37.794865             8.959646             5.740546            10.811955                        986.787292                     0.000000               0.000000  0.817425      0.000000                                15.0              36.871906               31.820000                    33.718315              0.440810
2023-01-01T14:23:00+00:00      100.000000                            0.0       268.501495          37.646812    37.646812             6.163986             6.883521            12.477355                        987.089172                     0.000000               0.000000  0.817425      0.000000                                15.0              36.912296               31.820000                    33.722549              0.440810
2023-01-01T14:33:00+00:00      100.000000                            0.0       251.863998          37.646812    37.646812             9.310625             5.838814            10.596262                        987.322571                     0.000000               0.000000  0.817722      0.000000                                10.0              37.031746               31.820000                    33.730984              0.389999
2023-01-01T14:43:00+00:00      100.000000                            0.0       286.505859          37.372154    37.372154             8.721989             7.570273            12.451943                        987.493652                     0.000000               0.000000  0.817722      0.000000                                10.0              37.142918               31.820000                    33.735214              0.389999
2023-01-01T14:53:00+00:00      100.000000                            0.0       268.207245          37.351982    37.351982             7.818082             7.889736            12.751510                        987.761047                     0.000000               0.000000  0.815941      0.000000                                15.0              37.211597               31.820000                    33.739418              0.694865
2023-01-01T15:03:00+00:00      100.000000                            0.0       279.602600          37.351982    37.351982             5.181499             5.855561            10.518901                        988.021851                     0.000000               0.000000  0.818018      0.000000                                10.0              37.337212               31.820000                    33.747879              0.339188
2023-01-01T15:13:00+00:00      100.000000                            0.0       258.068481          37.351982    37.351982             5.007926             5.372977             9.225903                        987.999573                     0.000000               0.000000  0.817722      0.000000                                10.0              37.591698               31.820000                    33.756310              0.389999
2023-01-01T15:23:00+00:00      100.000000                            0.0       248.281891          37.210529    37.210529             6.028557             7.637727            10.949213                        988.202820                     0.000000               0.000000  0.818018      0.000000                                10.0              37.763355               31.820000                    33.760506              0.339188
2023-01-01T15:33:00+00:00      100.000000                            0.0       223.990753          37.351982    37.351982             7.476950             6.623200            11.778563                        988.344299                     0.000000               0.000000  0.818315      0.000000                                10.0              37.989803               31.820000                    33.768963              0.288377
2023-01-01T15:43:00+00:00      100.000000                            0.0       278.704346          37.210529    37.210529             5.075085             7.932657            12.336226                        988.551697                     0.000000               0.000000  0.818315      0.000000                                10.0              38.206806               31.820000                    33.777390              0.288377
2023-01-01T15:53:00+00:00      100.000000                            0.0       263.318939          37.210529    37.210529             2.587900             6.861650            11.390637                        988.587036                     0.000000               0.000000  0.818018      0.000000                                10.0              38.391823               31.820000                    33.786152              0.339188
2023-01-01T16:03:00+00:00      100.000000                            0.0       262.230316          37.498276    37.498276             5.770760             6.135709            11.550759                        988.493286                     0.000000               0.000000  0.818315      0.000000                                10.0              38.668392               31.820000                    33.795059              0.288377
2023-01-01T16:13:00+00:00      100.000000                            0.0       248.276382          37.498276    37.498276             4.367637             5.665646             9.131983                        988.722595                     0.000000               0.000000  0.818315      0.000000                                10.0              38.774395               31.820000                    33.803959              0.288377
2023-01-01T16:23:00+00:00      100.000000                            0.0       260.268127          37.351982    37.351982             5.876382             5.748092             9.395240                        988.740845                     0.000000               0.000000  0.818315      0.000000                                10.0              38.795418               31.820000                    33.812862              0.288377
2023-01-01T16:33:00+00:00      100.000000                            0.0       247.692368          37.646812    37.646812             7.179365             5.667741             9.521262                        988.607849                     0.000000               0.000000  0.818909      0.000000                                10.0              39.353134               31.820000                    33.821785              0.186756
2023-01-01T16:43:00+00:00      100.000000                            0.0       252.766983          37.646812    37.646812             5.582895             7.350510            11.326225                        988.847595                     0.000000               0.000000  0.818612      0.000000                                10.0              39.748272               31.820000                    33.830685              0.237567
2023-01-01T16:53:00+00:00      100.000000                            0.0       223.059433          37.498276    37.498276            10.062590             7.156123            11.888402                        988.717346                     0.000000               0.000000  0.818909      0.000000                                10.0              39.860962               31.820000                    33.844036              0.186756
2023-01-01T17:03:00+00:00      100.000000                            0.0       238.827469          37.498276    37.498276             6.042580             7.582734            11.198033                        988.688904                     0.000000               0.000000  0.818909      0.000000                                10.0              40.334305               31.820000                    33.852928              0.186756
2023-01-01T17:13:00+00:00      100.000000                            0.0       254.391525          37.646812    37.646812             9.038351             7.189137            12.112602                        988.669128                     0.000000               0.000000  0.819206      0.000000                                10.0              41.093155               31.820000                    33.866245              0.135944
2023-01-01T17:23:00+00:00      100.000000                            0.0       245.966431          37.731472    37.731472             8.590015             8.235249            13.070509                        989.076660                     0.000000               0.000000  0.819799      0.000000                                10.0              41.547901               31.820000                    33.875156              0.034323
2023-01-01T17:33:00+00:00      100.000000                            0.0       252.492126          37.646812    37.646812             6.309362             9.570401            14.512487                        989.064758                     0.000000               0.000000  0.819799      0.000000                                10.0              41.787315               31.820000                    33.888470              0.034323
2023-01-01T17:43:00+00:00       99.677063                            0.0       248.844955          37.646812    37.564407            10.917987             9.181469            13.405500                        988.740417                     0.000000               0.000000  0.819799      0.000000                                10.0              41.875038               31.820000                    33.901798              0.034323
2023-01-01T17:53:00+00:00       99.416687                            0.0       232.271759          37.942421    37.793198             5.788641             8.627803            14.787235                        988.681335                     0.000000               0.000000  0.819799      0.000000                                10.0              42.261837               31.820000                    33.915131              0.034323
2023-01-01T18:03:00+00:00       98.604950                            0.0       250.636108          37.561996    37.204441             7.871727             7.819772            12.626690                        988.740479                     0.000000               0.000000  0.820000      0.000000                                10.0              41.577366               31.820000                    33.928455              0.000000
2023-01-01T18:13:00+00:00       98.331871                            0.0       224.380035          37.942421    37.513615             8.491556             6.966083            11.452571                        988.714172                     0.000000               0.000000  0.820000      0.000000                                10.0              42.561134               31.820000                    33.941742              0.000000
2023-01-01T18:23:00+00:00       97.108894                            0.0       245.078781          37.942421    37.195129             7.397333             8.427615            13.286324                        988.726074                     0.000000               0.000000  0.819799      0.000000                                10.0              41.809799               31.820000                    33.959503              0.034323
2023-01-01T18:33:00+00:00       95.960304                            0.0       231.527390          38.817631    37.763832            11.304136             8.564717            13.674576                        988.910400                     0.000000               0.000000  0.819503      0.000000                                10.0              45.318657               31.820000                    33.972809              0.085134
2023-01-01T18:43:00+00:00       95.179871                            0.0       224.502411          39.852581    38.584816             6.177461             8.615362            13.932832                        988.878967                     0.000000               0.000000  0.819799      0.000000                                10.0              46.533051               31.820000                    33.990524              0.034323
2023-01-01T18:53:00+00:00       94.411789                            0.0       232.024338          38.527809    37.061550            11.959873             9.144822            14.155889                        988.938782                     0.000000               0.000000  0.820000      0.000000                                10.0              45.796669               31.820000                    34.008232              0.000000
2023-01-01T19:03:00+00:00       96.779961                            0.0       239.936691          38.961830    38.124443             8.222515             7.876854            13.601532                        988.794128                     0.000000               0.000000  0.819799      0.000000                                10.0              45.848362               31.820000                    34.025959              0.034323
2023-01-01T19:13:00+00:00       94.411789                            0.0       236.528000          38.527809    37.061550             6.962399             8.818253            14.306517                        988.840332                     0.000000               0.000000  0.820000      0.000000                                10.0              45.631088               31.820000                    34.043644              0.000000
2023-01-01T19:23:00+00:00       95.600388                            0.0       222.187073          38.382183    37.234856             6.305873             7.362143            11.847137                        988.765137                     0.000000               0.000000  0.820000      0.000000                                10.0              43.994652               31.820000                    34.061325              0.000000
2023-01-01T19:33:00+00:00       93.751137                            0.0       225.283798          39.105556    37.456631            10.647010             6.778913            12.450219                        989.046692                     0.000000               0.000000  0.820000      0.000000                                10.0              44.069019               31.820000                    34.083427              0.000000
2023-01-01T19:43:00+00:00       92.447090                            0.0       242.480560          39.703068    37.692425             7.571713             8.519623            12.190611                        988.997986                     0.000000               0.000000  0.820000      0.000000                                10.0              44.566071               31.820000                    34.105522              0.000000
2023-01-01T19:53:00+00:00       91.069366                            0.0       247.898560          39.852581    37.457985            12.354819             9.088797            13.454205                        989.226563                     0.000000               0.000000  0.820000      0.000000                                10.0              44.830910               31.820000                    34.127594              0.000000
2023-01-01T20:03:00+00:00       91.203476                            0.0       235.726120          40.150150    37.789883             9.547732             9.605692            13.338561                        989.174255                     0.000000               0.000000  0.820000      0.000000                                10.0              44.865936               31.820000                    34.149654              0.000000
2023-01-01T20:13:00+00:00       91.386742                            0.0       261.181946          40.739578    38.424408             9.202349             8.605164            14.176486                        989.289917                     0.000000               0.000000  0.820000      0.000000                                10.0              45.252556               31.820000                    34.176125              0.000000
2023-01-01T20:23:00+00:00       90.097038                            0.0       244.799789          40.739578    38.061264            10.656817             9.928618            12.688696                        989.349548                     0.000000               0.000000  0.820000      0.000000                                10.0              45.520153               31.820000                    34.198154              0.000000
2023-01-01T20:33:00+00:00       89.386688                            0.0       226.195145          40.844040    37.962395             5.346031             8.352327            12.197415                        989.237122                     0.000000               0.000000  0.820000      0.000000                                10.0              45.090252               31.820000                    34.224556              0.000000
2023-01-01T20:43:00+00:00       89.631577                            0.0       285.239075          40.802288    37.990990            10.777899             7.623602            13.403222                        989.309204                     0.000000               0.000000  0.820000      0.000000                                10.0              44.762310               31.820000                    34.255348              0.000000
2023-01-01T20:53:00+00:00       90.412254                            0.0       252.475372          40.445812    37.860069             6.443406             7.447084            11.828192                        989.310669                     0.000000               0.000000  0.820000      0.000000                                10.0              44.272659               31.820000                    34.281738              0.000000
2023-01-01T21:03:00+00:00       91.630173                            0.0       272.966949          39.852581    37.614342             4.146450             5.590120            10.982062                        988.970154                     0.000000               0.000000  0.820000      0.000000                                10.0              43.346767               31.820000                    34.312481              0.000000
2023-01-01T21:13:00+00:00       92.770905                            0.0       232.032288          39.788563    37.866322             4.547844             4.475481             8.231614                        989.382141                     0.000000               0.000000  0.820000      0.000000                                10.0              42.863659               31.820000                    34.343197              0.000000
2023-01-01T21:23:00+00:00       92.452049                            0.0       228.726974          39.402588    37.396023             6.598621             6.720979            10.204058                        989.653015                     0.000000               0.000000  0.820000      0.000000                                10.0              42.412884               31.820000                    34.378284              0.000000
2023-01-01T21:33:00+00:00       92.204964                            0.0       277.648743          39.105556    37.033646             4.725780             5.835209             9.058233                        989.823364                     0.000000               0.000000  0.820000      0.000000                                10.0              41.893742               31.820000                    34.408943              0.000000
2023-01-01T21:43:00+00:00       92.804840                            0.0       264.168579          38.672958    36.769596             3.505098             3.691988             6.062539                        989.847046                     0.000000               0.000000  0.820000      0.000000                                10.0              41.229595               31.820000                    34.443935              0.000000
2023-01-01T21:53:00+00:00       93.426262                            0.0       234.307205          38.527809    36.795025             2.468506             4.162747             6.183191                        989.939697                     0.000000               0.000000  0.820000      0.000000                                10.0              40.791054               31.820000                    34.478920              0.000000
2023-01-01T22:03:00+00:00       93.828644                            0.0       216.557785          38.089493    36.469028             7.308787             5.725458             9.442526                        989.981384                     0.000000               0.000000  0.820000      0.000000                                10.0              40.343872               31.820000                    34.513874              0.000000
2023-01-01T22:13:00+00:00       94.808411                            0.0       218.655792          37.731472    36.376637             6.587627             6.524778             9.467370                        989.990601                     0.000000               0.000000  0.820000      0.000000                                10.0              39.929470               31.820000                    34.548790              0.000000
